dataset,scope,method,test,metric,delta,pvalue,ci_lo,ci_hi
galar_pathology,ens,pact,fold_ttest,MCC,0.0015,0.6527,,
galar_pathology,ens,pact,fold_ttest,rareRec,0.0347,0.4882,,
galar_pathology,ens,pact,fold_ttest,rarePrec,-0.0447,0.5037,,
galar_pathology,ens,pact,fold_ttest,rareF1,0.0159,0.4806,,
galar_pathology,ens,pact,video_cluster_bootstrap,F1,0.0031,0.8139,-0.0092,0.0111
galar_pathology,ens,pact,video_cluster_bootstrap,MCC,0.0015,0.02244,-0.0016,0.0048
galar_pathology,ens,pact,video_cluster_bootstrap,rareRec,0.0307,0.002581,0.0044,0.0547
galar_pathology,ens,pact,video_cluster_bootstrap,rarePrec,-0.0372,0.1445,-0.0911,0.0048
galar_pathology,ens,pact,video_cluster_bootstrap,rareF1,0.0112,0.2101,-0.0249,0.0343
galar_pathology,ens,pact_uncon,fold_ttest,F1,0.0048,0.5041,,
galar_pathology,ens,pact_uncon,fold_ttest,MCC,0.0015,0.6527,,
galar_pathology,ens,pact_uncon,fold_ttest,rareRec,0.0347,0.4882,,
galar_pathology,ens,pact_uncon,fold_ttest,rarePrec,-0.0447,0.5037,,
galar_pathology,ens,pact_uncon,fold_ttest,rareF1,0.0159,0.4806,,
galar_pathology,ens,pact_uncon,video_cluster_bootstrap,F1,0.0031,0.8139,-0.0092,0.0111
galar_pathology,ens,pact_uncon,video_cluster_bootstrap,MCC,0.0015,0.02244,-0.0016,0.0048
galar_pathology,ens,pact_uncon,video_cluster_bootstrap,rareRec,0.0307,0.002581,0.0044,0.0547
galar_pathology,ens,pact_uncon,video_cluster_bootstrap,rarePrec,-0.0372,0.1445,-0.0911,0.0048
galar_pathology,ens,pact_uncon,video_cluster_bootstrap,rareF1,0.0112,0.2101,-0.0249,0.0343
galar_pathology,ens,hce,fold_ttest,F1,0.0021,0.5103,,
galar_pathology,ens,hce,fold_ttest,MCC,-0.0026,0.3755,,
galar_pathology,ens,hce,fold_ttest,rareRec,0.0405,0.3710,,
galar_pathology,ens,hce,fold_ttest,rarePrec,-0.0424,0.4779,,
galar_pathology,ens,hce,fold_ttest,rareF1,0.0115,0.5211,,
galar_pathology,ens,hce,video_cluster_bootstrap,F1,0.0010,0.9095,-0.0113,0.0093
galar_pathology,ens,hce,video_cluster_bootstrap,MCC,-0.0026,0.1259,-0.0082,0.0021
galar_pathology,ens,hce,video_cluster_bootstrap,rareRec,0.0365,0.0006067,0.0054,0.0671
galar_pathology,ens,hce,video_cluster_bootstrap,rarePrec,-0.0371,0.2087,-0.0948,0.0078
galar_pathology,ens,hce,video_cluster_bootstrap,rareF1,0.0082,0.7848,-0.0283,0.0319
