dataset,method,class,support,prevalence,rare,P_mean,R_mean,R_sd,F1_mean,F1_sd
galar_pathology,hcg_video,11,42,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcg_rel,0,8960238,0.856549,0,0.9304,0.9280,0.0192,0.9292,0.0198
galar_pathology,hcg_rel,1,1120725,0.107135,0,0.5806,0.5953,0.1243,0.5866,0.1124
galar_pathology,hcg_rel,2,99474,0.009509,0,0.0801,0.0801,0.0645,0.0595,0.0375
galar_pathology,hcg_rel,3,85713,0.008194,0,0.3609,0.5066,0.2793,0.4113,0.1846
galar_pathology,hcg_rel,4,48924,0.004677,0,0.0817,0.0505,0.0085,0.0587,0.0179
galar_pathology,hcg_rel,5,43701,0.004178,0,0.0471,0.0837,0.0665,0.0531,0.0311
galar_pathology,hcg_rel,6,43533,0.004162,0,0.0358,0.0408,0.0112,0.0362,0.0181
galar_pathology,hcg_rel,7,32997,0.003154,0,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcg_rel,8,17946,0.001716,1,0.2091,0.0222,0.0298,0.0400,0.0536
galar_pathology,hcg_rel,9,7389,0.000706,1,0.0671,0.0774,0.0559,0.0584,0.0572
galar_pathology,hcg_rel,10,180,0.000017,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcg_rel,11,42,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcg_rel_vid,0,8960238,0.856549,0,0.9304,0.9280,0.0192,0.9292,0.0198
galar_pathology,hcg_rel_vid,1,1120725,0.107135,0,0.5806,0.5953,0.1243,0.5866,0.1124
galar_pathology,hcg_rel_vid,2,99474,0.009509,0,0.0801,0.0801,0.0645,0.0595,0.0375
galar_pathology,hcg_rel_vid,3,85713,0.008194,0,0.3609,0.5066,0.2793,0.4113,0.1846
galar_pathology,hcg_rel_vid,4,48924,0.004677,0,0.0817,0.0505,0.0085,0.0587,0.0179
galar_pathology,hcg_rel_vid,5,43701,0.004178,0,0.0471,0.0837,0.0665,0.0531,0.0311
galar_pathology,hcg_rel_vid,6,43533,0.004162,0,0.0358,0.0408,0.0112,0.0362,0.0181
galar_pathology,hcg_rel_vid,7,32997,0.003154,0,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcg_rel_vid,8,17946,0.001716,1,0.2091,0.0222,0.0298,0.0400,0.0536
galar_pathology,hcg_rel_vid,9,7389,0.000706,1,0.0671,0.0774,0.0559,0.0584,0.0572
galar_pathology,hcg_rel_vid,10,180,0.000017,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcg_rel_vid,11,42,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hce,0,8960238,0.856549,0,0.9290,0.9326,0.0191,0.9307,0.0202
galar_pathology,hce,1,1120725,0.107135,0,0.5885,0.5764,0.1112,0.5815,0.1086
